,Train RMSE,Validation RMSE,Validation MAE,R² Score
XGBoost,6254.721096899525,18517.383832496424,12381.275390625,0.8921995759010315
Random Forest,10218.81827540592,21002.568080857844,14414.073512012374,0.8613224807144044
Ridge Regression,15148.272419811792,31294.967648582468,14884.520142379732,0.6920995839359416
Lasso Regression,14338.29576442676,56338.13646661285,17554.557564937004,0.0021478054706461913
Linear Regression,14338.290077334805,56362.61230561051,17577.5684994257,0.0012805927271547501
